project_name,current_path,project_type,priority,status,language,framework,tests_present,docs_present,target_group,recommended_action,confidence,evidence_paths
workspace-root-orchestrator,.,platform,P0,ACTIVE,JavaScript/TypeScript,"Express, Mongoose",yes,no,platform,review_before_move,MEDIUM,package.json; test/app.test.js; test/integration.test.js
arc-axis-adapter,projects/SWD-ARC/Lab Template/files,template,P3,TEMPLATE,JavaScript/TypeScript,Express,yes,yes,templates,propose_move,HIGH,projects/SWD-ARC/Lab Template/files/package.json; projects/SWD-ARC/Lab Template/files/README.md; projects/SWD-ARC/Lab Template/files/tests/adapter.test.js
swd-arc-controls-center,projects/SWD-ARC/apps/controls-center,platform,P0,ACTIVE,JavaScript/TypeScript,"Next.js, React",yes,yes,platform,review_before_move,MEDIUM,projects/SWD-ARC/apps/controls-center/package.json; projects/SWD-ARC/apps/controls-center/README.md; projects/SWD-ARC/apps/controls-center/scripts/axis-hard-gate-regression.mjs
swd-arc-mcp-server,projects/SWD-ARC/mcp/server,tooling,P3,STABLE,JavaScript/TypeScript,MCP SDK,yes,yes,tooling,review_before_move,HIGH,projects/SWD-ARC/mcp/server/package.json; projects/SWD-ARC/mcp/server/README.md; projects/SWD-ARC/mcp/server/tests/server.test.js
swd-mcp-server-archive-copy,projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server,archive,P4,ARCHIVE,JavaScript/TypeScript,MCP SDK,yes,yes,archive,retain_archive,HIGH,projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server/package.json; projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server/README.md
wps-sif-tool-archive,projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool,archive,P4,ARCHIVE,JavaScript/TypeScript,"Next.js, React, Vite, Playwright",yes,yes,archive,retain_archive,HIGH,projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool/package.json; projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool/README.md; projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool/__tests__/page.test.js
docsmith-licensing-service,projects/docsmith-licensing-service,service,P1,STABLE,JavaScript/TypeScript,"Next.js, React",yes,yes,services,review_before_move,HIGH,projects/docsmith-licensing-service/package.json; projects/docsmith-licensing-service/README.md; projects/docsmith-licensing-service/app/api; projects/docsmith-licensing-service/db/migrations
docsmith-payment-gateway,projects/docsmith-payment-gateway,service,P1,STABLE,JavaScript/TypeScript,"Next.js, React",yes,yes,services,review_before_move,HIGH,projects/docsmith-payment-gateway/package.json; projects/docsmith-payment-gateway/README.md; projects/docsmith-payment-gateway/app/api; projects/docsmith-payment-gateway/db/migrations
node-backend-starter,projects/node-backend-starter,template,P3,TEMPLATE,JavaScript/TypeScript,"Express, Mongoose",yes,yes,templates,propose_move,MEDIUM,projects/node-backend-starter/package.json; projects/node-backend-starter/README.md; projects/node-backend-starter/test/security.test.js
node-backend-starter-v2,projects/node-backend-starter-v2,template,P3,EXPERIMENT,JavaScript/TypeScript,"Express, Prisma",yes,yes,templates,review_before_move,HIGH,projects/node-backend-starter-v2/package.json; projects/node-backend-starter-v2/README.md; projects/node-backend-starter-v2/SUMMARY.md; projects/node-backend-starter-v2/tests/unit/user.service.test.ts
swd-docsmith-sif-extension,projects/swd-docsmith-sif-extension,extension,P1,STABLE,JavaScript/TypeScript,"Next.js, React, Vite, Playwright",yes,yes,extensions,review_before_move,HIGH,projects/swd-docsmith-sif-extension/package.json; projects/swd-docsmith-sif-extension/README.md; projects/swd-docsmith-sif-extension/__tests__/license.test.js
swd-docsmith-brand-website,projects/swd-docsmith_brand-website,application,P2,ACTIVE,JavaScript/TypeScript,"Next.js, React, Playwright",yes,yes,applications,propose_move,HIGH,projects/swd-docsmith_brand-website/package.json; projects/swd-docsmith_brand-website/README.md; projects/swd-docsmith_brand-website/__tests__/validation.test.js
swd-finstack-mcp-server,projects/swd-finstack/mcp/server,tooling,P3,EXPERIMENT,JavaScript/TypeScript,MCP SDK,no,no,tooling,review_before_move,MEDIUM,projects/swd-finstack/mcp/server/package.json; projects/swd-finstack/mcp/server/server.js
swd-landing,projects/swd-landing,application,P2,STABLE,JavaScript/TypeScript,"Next.js, React",yes,yes,applications,review_before_move,HIGH,projects/swd-landing/package.json; projects/swd-landing/README.md; projects/swd-landing/__tests__/smoke.test.js
wps-hr-core,projects/wps-hr-core,application,P2,EXPERIMENT,JavaScript/TypeScript,"Next.js, React",yes,yes,applications,review_before_move,MEDIUM,projects/wps-hr-core/package.json; projects/wps-hr-core/README.md; projects/wps-hr-core/tests/eosb.test.ts; projects/wps-hr-core/src/app
vault-dashboard-legacy,vault/dashboard,platform,P4,LEGACY,JavaScript/TypeScript,"Next.js, React",no,yes,platform,review_for_consolidation,MEDIUM,vault/dashboard/package.json; vault/dashboard/README.md
