project_name,current_path,proposed_path,target_group,priority,status,action,risk_level,collision_check,notes
workspace-root-orchestrator,.,platform/workspace-root-orchestrator,platform,P0,ACTIVE,review_before_move,HIGH,PASS,Identity reassigned from package name `swd-pulse` to avoid collision with the starter template.
arc-axis-adapter,projects/SWD-ARC/Lab Template/files,templates/arc-axis-adapter,templates,P3,TEMPLATE,propose_move,MEDIUM,PASS,Normalized away from ambiguous `templates/files` destination.
swd-arc-controls-center,projects/SWD-ARC/apps/controls-center,platform/swd-arc-controls-center,platform,P0,ACTIVE,review_before_move,HIGH,PASS,Treat as the primary active control-plane UI pending any formal consolidation decision.
swd-arc-mcp-server,projects/SWD-ARC/mcp/server,tooling/swd-arc-mcp-server,tooling,P3,STABLE,review_before_move,MEDIUM,PASS,Retain as active tooling; no merge or relocation without dependency review.
swd-mcp-server-archive-copy,projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server,archive/swd-mcp-server-archive-copy,archive,P4,ARCHIVE,retain_archive,LOW,PASS,Archive retention only; no deletion or merge implied.
wps-sif-tool-archive,projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool,archive/wps-sif-tool-archive,archive,P4,ARCHIVE,retain_archive,LOW,PASS,Keep as archived lineage reference only.
docsmith-licensing-service,projects/docsmith-licensing-service,services/docsmith-licensing-service,services,P1,STABLE,review_before_move,HIGH,PASS,Corrected from invalid `docs` classification; path reservation only until repo references are reviewed.
docsmith-payment-gateway,projects/docsmith-payment-gateway,services/docsmith-payment-gateway,services,P1,STABLE,review_before_move,HIGH,PASS,Corrected from invalid `docs` classification; no execution until deployment references are mapped.
node-backend-starter,projects/node-backend-starter,templates/node-backend-starter,templates,P3,TEMPLATE,propose_move,MEDIUM,PASS,Treat as v1 starter template; compare against v2 before any consolidation decision.
node-backend-starter-v2,projects/node-backend-starter-v2,templates/node-backend-starter-v2,templates,P3,EXPERIMENT,review_before_move,MEDIUM,PASS,"Potential successor to v1 starter, but differentiation should be explicit before any retirement plan."
swd-docsmith-sif-extension,projects/swd-docsmith-sif-extension,extensions/swd-docsmith-sif-extension,extensions,P1,STABLE,review_before_move,MEDIUM,PASS,No destructive action; maintain clear separation from archived `wps-sif-tool` lineage.
swd-docsmith-brand-website,projects/swd-docsmith_brand-website,applications/swd-docsmith-brand-website,applications,P2,ACTIVE,propose_move,MEDIUM,PASS,Separator normalization only; execute only after route/import/path references are reviewed.
swd-finstack-mcp-server,projects/swd-finstack/mcp/server,tooling/swd-finstack-mcp-server,tooling,P3,EXPERIMENT,review_before_move,MEDIUM,PASS,No path collision with the ARC MCP server in v2 plan.
swd-landing,projects/swd-landing,applications/swd-landing,applications,P2,STABLE,review_before_move,MEDIUM,PASS,No duplicate finding strong enough to justify consolidation with other web properties.
wps-hr-core,projects/wps-hr-core,applications/wps-hr-core,applications,P2,EXPERIMENT,review_before_move,MEDIUM,PASS,Requires documentation cleanup before any structural move.
vault-dashboard-legacy,vault/dashboard,platform/vault-dashboard-legacy,platform,P4,LEGACY,review_for_consolidation,HIGH,PASS,Do not remove or merge without Prime approval and dependency/runtime review.
