project_name,current_path,proposed_path,source_exists,destination_exists,collision_check,dirty_state_risk,execution_ready,notes
workspace-root-orchestrator,.,platform/workspace-root-orchestrator,yes,no,PASS,HIGH,no,"source would move into itself or into its own descendant path | Prior narrative expected `platform/swd-pulse`, while approved move plan uses `platform/workspace-root-orchestrator`. | moving the workspace root would relocate the active root repo into its own child path | source path or ancestor is already dirty in workspace root repo | approved plan explicitly marks this row for review before move"
arc-axis-adapter,projects/SWD-ARC/Lab Template/files,templates/arc-axis-adapter,yes,no,PASS,HIGH,no,source is a subdirectory inside nested repo `projects/SWD-ARC` and would be extracted across repo boundaries | containing repo `projects/SWD-ARC` is dirty
swd-arc-controls-center,projects/SWD-ARC/apps/controls-center,platform/swd-arc-controls-center,yes,no,PASS,HIGH,no,"Prior narrative example proposed `platform/arc-console`, but approved move plan uses `platform/swd-arc-controls-center`. | source is a subdirectory inside nested repo `projects/SWD-ARC` and would be extracted across repo boundaries | containing repo `projects/SWD-ARC` is dirty | approved plan explicitly marks this row for review before move"
swd-arc-mcp-server,projects/SWD-ARC/mcp/server,tooling/swd-arc-mcp-server,yes,no,PASS,HIGH,no,source is a subdirectory inside nested repo `projects/SWD-ARC` and would be extracted across repo boundaries | containing repo `projects/SWD-ARC` is dirty | approved plan explicitly marks this row for review before move
swd-mcp-server-archive-copy,projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server,archive/swd-mcp-server-archive-copy,yes,no,PASS,HIGH,no,source is a nested repo root tracked by the workspace root as gitlink `projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server` | source path or ancestor is already dirty in workspace root repo | containing repo `projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server` is dirty
wps-sif-tool-archive,projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool,archive/wps-sif-tool-archive,yes,no,PASS,HIGH,no,source is a nested repo root tracked by the workspace root as gitlink `projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool` | source path or ancestor is already dirty in workspace root repo | containing repo `projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool` is dirty
docsmith-licensing-service,projects/docsmith-licensing-service,services/docsmith-licensing-service,yes,no,PASS,HIGH,no,source is a nested repo root tracked by the workspace root as gitlink `projects/docsmith-licensing-service` | source path or ancestor is already dirty in workspace root repo | containing repo `projects/docsmith-licensing-service` is dirty | approved plan explicitly marks this row for review before move
docsmith-payment-gateway,projects/docsmith-payment-gateway,services/docsmith-payment-gateway,yes,no,PASS,MEDIUM,no,source is a nested repo root tracked by the workspace root as gitlink `projects/docsmith-payment-gateway` | workspace root repo is dirty even though nested repo is clean | approved plan explicitly marks this row for review before move
node-backend-starter,projects/node-backend-starter,templates/node-backend-starter,yes,no,PASS,LOW,no,"Prior narrative example proposed archiving to `archive/node-backend-starter-v1`, but approved move plan uses `templates/node-backend-starter`. | source is an embedded repo root while the workspace root tracks regular files under `projects/node-backend-starter`"
node-backend-starter-v2,projects/node-backend-starter-v2,templates/node-backend-starter-v2,yes,no,PASS,MEDIUM,no,"Prior narrative example proposed canonical replacement at `templates/node-backend-starter`, but approved move plan preserves `templates/node-backend-starter-v2`. | source is a nested repo root tracked by the workspace root as gitlink `projects/node-backend-starter-v2` | workspace root repo is dirty even though nested repo is clean | approved plan explicitly marks this row for review before move"
swd-docsmith-sif-extension,projects/swd-docsmith-sif-extension,extensions/swd-docsmith-sif-extension,yes,no,PASS,HIGH,no,source is a nested repo root tracked by the workspace root as gitlink `projects/swd-docsmith-sif-extension` | source path or ancestor is already dirty in workspace root repo | containing repo `projects/swd-docsmith-sif-extension` is dirty | approved plan explicitly marks this row for review before move
swd-docsmith-brand-website,projects/swd-docsmith_brand-website,applications/swd-docsmith-brand-website,yes,no,PASS,HIGH,no,source is a nested repo root tracked by the workspace root as gitlink `projects/swd-docsmith_brand-website` | source path or ancestor is already dirty in workspace root repo | containing repo `projects/swd-docsmith_brand-website` is dirty
swd-finstack-mcp-server,projects/swd-finstack/mcp/server,tooling/swd-finstack-mcp-server,yes,no,PASS,HIGH,no,source path or ancestor is already dirty in workspace root repo | approved plan explicitly marks this row for review before move
swd-landing,projects/swd-landing,applications/swd-landing,yes,no,PASS,HIGH,no,source is a nested repo root tracked by the workspace root as gitlink `projects/swd-landing` | source path or ancestor is already dirty in workspace root repo | containing repo `projects/swd-landing` is dirty | approved plan explicitly marks this row for review before move
wps-hr-core,projects/wps-hr-core,applications/wps-hr-core,yes,no,PASS,HIGH,no,source is a nested repo root tracked by the workspace root as gitlink `projects/wps-hr-core` | source path or ancestor is already dirty in workspace root repo | containing repo `projects/wps-hr-core` is dirty | approved plan explicitly marks this row for review before move
vault-dashboard-legacy,vault/dashboard,platform/vault-dashboard-legacy,yes,no,PASS,MEDIUM,no,approved plan requires consolidation review before any move
