project_name,current_path,proposed_path,execution_type,execution_readiness,owning_repo,target_repo_context,boundary_crossing,dirty_state_risk,blocking_reason,required_prerequisite,recommended_track,notes
arc-axis-adapter,projects/SWD-ARC/Lab Template/files,templates/arc-axis-adapter,SUBDIRECTORY_EXTRACTION_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/SWD-ARC,workspace-root logical target outside the SWD-ARC repo,yes,HIGH,The source is a subdirectory inside the dirty `projects/SWD-ARC` repo; extracting it would cross repo boundaries and is not a simple filesystem move.,Clean baseline for `projects/SWD-ARC` plus an approved repo-split/extraction plan.,repo_split_migration,Logical template classification can stand without physical relocation.
swd-arc-controls-center,projects/SWD-ARC/apps/controls-center,platform/swd-arc-controls-center,MIGRATION_PROJECT_REQUIRED,NEVER_AS_SIMPLE_MOVE,projects/SWD-ARC,future logical ARC platform target outside the SWD-ARC repo,yes,HIGH,"This is both a subdirectory extraction from `projects/SWD-ARC` and the current seed of the logical ARC control plane, so it requires an architectural migration project rather than a move.","Clean SWD-ARC repo baseline, approved ARC control-plane migration design, and explicit handling for the `vault/dashboard` relationship.",dashboard_consolidation_program,Defines the current implementation seed for the logical `arc-console`.
swd-arc-mcp-server,projects/SWD-ARC/mcp/server,tooling/swd-arc-mcp-server,SUBDIRECTORY_EXTRACTION_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/SWD-ARC,workspace-root tooling target outside the SWD-ARC repo,yes,HIGH,"The MCP server sits inside the dirty `projects/SWD-ARC` repo, so relocating it would be a repo extraction exercise rather than a filesystem-only move.",Clean SWD-ARC baseline and approved repo-split plan for ARC tooling.,repo_split_migration,Logical tooling identity remains valid even while physically unmoved.
swd-mcp-server-archive-copy,projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server,archive/swd-mcp-server-archive-copy,ARCHIVE_LOGICAL_ONLY,LOGICAL_ONLY,projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server,existing archive classification only,yes,HIGH,Archive items do not need physical normalization; this path is already logically archived and moving the nested repo would create unnecessary git-boundary churn.,None for logical retention; separate archive-transition project only if Prime later requires physical consolidation.,logical_archive_catalog,Keep physically in place and retain only the logical archive label.
wps-sif-tool-archive,projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool,archive/wps-sif-tool-archive,ARCHIVE_LOGICAL_ONLY,LOGICAL_ONLY,projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool,existing archive classification only,yes,HIGH,This item is already logically archived. The physical move would relocate a dirty nested repo and is unnecessary for governance cleanup.,None for logical retention; any future archive-consolidation project requires explicit Prime approval.,logical_archive_catalog,Preserve lineage to the active DocSmith extension without moving the archive repo.
docsmith-licensing-service,projects/docsmith-licensing-service,services/docsmith-licensing-service,GITLINK_OR_NESTED_REPO_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/docsmith-licensing-service,workspace-root services namespace,yes,HIGH,"The service is a dirty nested repo tracked by the workspace root as a gitlink, so changing its path is a repo relocation problem rather than a safe move.","Clean nested repo baseline, clean workspace-root baseline, and an approved repo-relocation strategy for gitlink-backed services.",repo_relocation_project,Service classification remains valid; only the physical relocation is blocked.
docsmith-payment-gateway,projects/docsmith-payment-gateway,services/docsmith-payment-gateway,GITLINK_OR_NESTED_REPO_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/docsmith-payment-gateway,workspace-root services namespace,yes,MEDIUM,"Even though the nested repo itself is currently clean, the path is a gitlink-backed nested repo and the workspace root is dirty, so this is still a repo relocation problem.",Clean workspace-root baseline and approved handling for nested gitlink repo relocation.,repo_relocation_project,"Best positioned of the nested repos, but still not a simple move."
node-backend-starter,projects/node-backend-starter,templates/node-backend-starter,MIGRATION_PROJECT_REQUIRED,NEVER_AS_SIMPLE_MOVE,projects/node-backend-starter,workspace-root templates namespace,yes,LOW,"This is an embedded repo whose files are also tracked directly by the workspace root, so any relocation requires disentangling repository ownership before touching the filesystem.",Explicit repo-boundary disentanglement plan and Prime decision on v1 versus v2 starter lineage.,starter_lineage_migration,Treat as the legacy starter candidate until a template-canonicalization project is approved.
node-backend-starter-v2,projects/node-backend-starter-v2,templates/node-backend-starter-v2,GITLINK_OR_NESTED_REPO_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/node-backend-starter-v2,workspace-root templates namespace,yes,MEDIUM,"Preferred starter candidate or not, the project is still a gitlink-backed nested repo and cannot be normalized by a simple `mv`.",Clean workspace-root baseline and explicit repo-relocation method for preferred template repos.,template_repo_relocation_project,Logical preferred-starter status can be adopted immediately without physical movement.
swd-docsmith-sif-extension,projects/swd-docsmith-sif-extension,extensions/swd-docsmith-sif-extension,GITLINK_OR_NESTED_REPO_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/swd-docsmith-sif-extension,workspace-root extensions namespace,yes,HIGH,"The extension is a dirty nested repo tracked by gitlink, so filesystem normalization would actually be a repo relocation exercise.",Clean nested repo baseline and approved relocation strategy for gitlink-backed product repos.,repo_relocation_project,Retain logical extension classification while leaving the repo in place.
swd-docsmith-brand-website,projects/swd-docsmith_brand-website,applications/swd-docsmith-brand-website,GITLINK_OR_NESTED_REPO_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/swd-docsmith_brand-website,workspace-root applications namespace,yes,HIGH,"This is a dirty nested repo tracked by gitlink. The desired separator normalization is logical naming, not an immediately safe physical move.",Clean repo baseline and approved repo relocation plan that includes path/reference migration for the renamed target.,repo_relocation_project,Logical name normalization can be used in governance artifacts before any physical rename.
swd-finstack-mcp-server,projects/swd-finstack/mcp/server,tooling/swd-finstack-mcp-server,DIRTY_STATE_BLOCKED,SAFE_AFTER_CLEAN_BASELINE,workspace-root,workspace-root tooling namespace,no,HIGH,"This is the only candidate that remains inside the workspace root repo, but the source path is already dirty and the approved plan marked it for review before move.",Create a clean workspace-root baseline and re-confirm authority for the single same-repo move.,clean_baseline_then_filesystem_move,"If the root repo is stabilized, this row could become a simple same-repo filesystem operation."
swd-landing,projects/swd-landing,applications/swd-landing,GITLINK_OR_NESTED_REPO_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/swd-landing,workspace-root applications namespace,yes,HIGH,"The project is a dirty nested gitlink-backed repo, so moving it would require repo relocation governance rather than filesystem normalization.","Clean nested repo baseline, clean workspace-root baseline, and an approved gitlink relocation strategy.",repo_relocation_project,Logical application status stands even while physical layout remains unchanged.
wps-hr-core,projects/wps-hr-core,applications/wps-hr-core,GITLINK_OR_NESTED_REPO_BLOCKED,NEVER_AS_SIMPLE_MOVE,projects/wps-hr-core,workspace-root applications namespace,yes,HIGH,"The project is a dirty nested repo tracked by gitlink, so moving it would cross repo boundaries and should be treated as repo relocation work.",Clean nested repo baseline and approved relocation plan for application repos.,repo_relocation_project,"Documentation maturity is still weak, but the blocking issue for movement is repo boundary, not classification."
vault-dashboard-legacy,vault/dashboard,platform/vault-dashboard-legacy,DECISION_GATED,DECISION_GATED,workspace-root,workspace-root platform namespace,no,MEDIUM,The approved plan itself requires consolidation review before any move because `vault/dashboard` remains a separate tooling/security candidate relative to the ARC control plane.,Prime decision on dashboard consolidation scope and whether the legacy dashboard stays separate or enters a dedicated merge project.,architecture_decision_gate,Must remain explicitly decision-gated in all recovery artifacts.
